Y,JD,Q1,Q2,Q3,Q4,T2,12LPX,12LPY,12LPZ,14SPZ,14LPX,14LPY,14LPZ,15SPZ,15LPX,15LPY,15LPZ,16SPZ,16LPX,16LPY,16LPZ
69,208,5,,,,M,,,,,,,,,,,,,,,
69,209,5,,,,C,,,,,,,,,,,,,,,
69,209,5,,,,A,,,,,,,,,,,,,,,
69,210,5,,,,C,,,,,,,,,,,,,,,
69,214,5,,,,C,,,,,,,,,,,,,,,
69,233,5,,,,C,,,,,,,,,,,,,,,
69,235,5,,,,,,,,,,,,,,,,,,,
69,236,5,,,,M,,,,,,,,,,,,,,,
69,237,5,,,,A,,,,,,,,,,,,,,,
69,324,5,,,,L,,1,1,1,,,,,,,,,,,
69,328,,,,,,,,,,,,,,,,,,,,
69,331,,,,,,,,1,,,,,,,,,,,,
69,332,,,,,A,,,,,,,,,,,,,,,
69,332,,,,,C,,1,1,,,,,,,,,,,,
69,333,,,,,A,,1,1,1,,,,,,,,,,,
69,333,,,,,A,,1,1,1,,,,,,,,,,,
69,334,,,,,A,,1,1,1,,,,,,,,,,,
69,334,,,,,A,,1,1,1,,,,,,,,,,,
69,334,,,,,,,1,1,1,,,,,,,,,,,
69,334,,,,,A,,,,,,,,,,,,,,,
69,335,,,,,A,,1,1,1,,,,,,,,,,,
69,335,,,,,C,,1,1,1,,,,,,,,,,,
69,335,,,,,A,,1,1,1,,,,,,,,,,,
69,335,,,,,A,,1,1,1,,,,,,,,,,,
69,336,,,,,A,,1,1,1,,,,,,,,,,,
69,336,6,,,,A,,1,1,1,,,,,,,,,,,
69,336,6,,,,C,,,,,,,,,,,,,,,
69,339,,,,,A,,1,1,1,,,,,,,,,,,
69,340,6,,,,A,,1,1,1,,,,,,,,,,,
69,342,,,,,C,,1,1,1,,,,,,,,,,,
69,342,,,,,,,,,,,,,,,,,,,,
69,343,,,,,A,,1,1,1,,,,,,,,,,,
69,344,,,,,A,,,,,,,,,,,,,,,
69,344,,,,,A,,,,,,,,,,,,,,,
69,345,,,,,A,,1,1,1,,,,,,,,,,,
69,345,,,,,A,,1,,,,,,,,,,,,,
69,345,,,,,,,,,,,,,,,,,,,,
